POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
03/10/2023,03/09/2023,J49PCA-NJ,GSP,TOLL,,-,-,00:04:39,RAS,14s,1,($2.02),Y,BUSINESS,N,$510.32
03/10/2023,03/08/2023,X18NMX-NJ,GSP,TOLL,,-,-,22:44:27,RAS,12s,1,($2.02),Y,BUSINESS,N,$512.34
03/10/2023,03/10/2023,02214781097,GSP,TOLL,,-,-,00:25:54,BRS,02S,1,($0.70),Y,BUSINESS,N,$514.36
03/10/2023,03/10/2023,02214781095,GSP,TOLL,,-,-,00:07:39,BRS,01S,1,($0.70),Y,BUSINESS,N,$515.06
03/10/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,23:57:09,RAS,14S,1,($2.02),Y,BUSINESS,N,$515.76
03/10/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,23:24:38,ESS,11S,1,($2.02),Y,BUSINESS,N,$517.78
03/10/2023,03/09/2023,02214781095,GSP,TOLL,,-,-,23:00:02,BEN,03N,1,($0.70),Y,BUSINESS,N,$519.80
03/10/2023,03/09/2023,02214781095,GSP,TOLL,,-,-,23:04:20,ASP,10N,1,($2.02),Y,BUSINESS,N,$520.50
03/10/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,22:15:42,PVK,01S,1,($2.02),Y,BUSINESS,N,$522.52
03/09/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,19:33:25,UNI,12N,1,($2.02),Y,BUSINESS,N,$524.54
03/09/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,19:00:58,ASP,12N,1,($2.02),Y,BUSINESS,N,$526.56
03/09/2023,03/09/2023,02214781097,GSP,TOLL,,-,-,19:51:05,BER,10N,1,($2.02),Y,BUSINESS,N,$528.58
03/09/2023,03/09/2023,02214781103,PANYNJ,TOLL,,-,-,12:07:34,OBX,04,-,($12.75),Y,BUSINESS,N,$530.60
03/09/2023,03/09/2023,02214781103,MTAB&T,TOLL,,-,-,12:30:09,VNB,020,-,($10.17),Y,BUSINESS,N,$543.35
03/09/2023,03/09/2023,02214781095,GSP,TOLL,,-,-,14:43:09,LWS,02S,1,($0.70),Y,BUSINESS,N,$553.52
03/09/2023,03/09/2023,02214781103,GSP,TOLL,,-,-,11:37:36,ASP,06N,1,($2.02),Y,BUSINESS,N,$554.22
03/09/2023,03/09/2023,02214781103,GSP,TOLL,,-,-,11:32:36,BEN,03N,1,($0.70),Y,BUSINESS,N,$556.24
03/09/2023,03/08/2023,X18NMX-NJ,GSP,TOLL,,-,-,17:00:36,LWS,01s,1,($0.70),Y,BUSINESS,N,$556.94
03/09/2023,03/08/2023,X18NMX-NJ,GSP,TOLL,,-,-,21:32:04,ASP,10n,1,($2.02),Y,BUSINESS,N,$557.64
03/09/2023,03/08/2023,02214781095,GSP,TOLL,,-,-,23:56:24,ASP,10N,1,($2.02),Y,BUSINESS,N,$559.66
03/09/2023,03/08/2023,02214781095,GSP,TOLL,,-,-,23:48:24,BRN,03N,1,($0.70),Y,BUSINESS,N,$561.68
03/08/2023,03/07/2023,02214781096,MassDOT,TOLL,00:01:26,STW,02,00:01:26,STW,02,-,($1.75),Y,BUSINESS,N,$562.38
