POSTING DATE,TRANSACTION DATE,TAG/PLATE NUMBER,AGENCY,DESCRIPTION,ENTRY TIME,ENTRY PLAZA,ENTRY LANE,EXIT TIME,EXIT PLAZA,EXIT LANE,VEHICLE TYPE CODE,AMOUNT,PREPAID,PLAN/RATE,FARE TYPE,BALANCE
08/17/2023,08/17/2023,02214781092,GSP,TOLL,,-,-,00:34:39,RAS,14S,1,($2.02),Y,BUSINESS,N,$1117.76
08/17/2023,08/16/2023,02214781098,NJTP,TOLL,21:25:40,9  ,06E,21:34:46,11 ,26X,1,($0.96),Y,BUSINESS,N,$1119.78
08/17/2023,08/16/2023,02214781097,NJTP,TOLL,18:50:12,11 ,06E,19:10:24,18E,13X,1,($7.21),Y,BUSINESS,N,$1120.74
08/16/2023,08/16/2023,02214781091,GSP,TOLL,,-,-,21:12:37,BER,07N,1,($2.02),Y,BUSINESS,N,$1127.95
08/16/2023,08/16/2023,02214781091,GSP,TOLL,,-,-,20:54:35,UNI,16N,1,($2.02),Y,BUSINESS,N,$1129.97
08/16/2023,08/16/2023,02214781092,GSP,TOLL,,-,-,20:50:25,ASP,11N,1,($2.02),Y,BUSINESS,N,$1131.99
08/16/2023,08/16/2023,02214781092,GSP,TOLL,,-,-,20:46:10,BEN,03N,1,($0.70),Y,BUSINESS,N,$1134.01
08/16/2023,08/16/2023,02214781091,GSP,TOLL,,-,-,20:09:45,ASP,11N,1,($2.02),Y,BUSINESS,N,$1134.71
08/16/2023,08/16/2023,02214781091,GSP,TOLL,,-,-,19:57:28,LWN,01N,1,($0.70),Y,BUSINESS,N,$1136.73
08/16/2023,08/16/2023,02214781098,NJTP,TOLL,18:09:06,18E,16E,18:29:48,12 ,16X,1,($8.81),Y,BUSINESS,N,$1137.43
08/16/2023,08/16/2023,02214781097,GSP,TOLL,,-,-,18:27:37,ASP,11N,1,($2.02),Y,BUSINESS,N,$1146.24
08/16/2023,08/16/2023,02214781097,GSP,TOLL,,-,-,18:18:29,BRN,04N,1,($0.70),Y,BUSINESS,N,$1148.26
08/16/2023,08/16/2023,02214781096,NJTP,TOLL,16:37:30,13 ,18E,16:59:16,9  ,15X,1,($4.20),Y,BUSINESS,N,$1148.96
08/16/2023,08/16/2023,02214781096,PANYNJ,TOLL,,-,-,08:29:51,GB ,02,-,($14.75),Y,BUSINESS,N,$1153.16
08/16/2023,08/13/2023,Z378147-NJ,PANYNJ,TOLL,,-,-,04:58:08,OBX,04,-,($12.75),Y,BUSINESS,N,$1167.91
08/16/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,20:46:46,D41,42S,-,($0.28),Y,BUSINESS,N,$1180.66
08/16/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,20:45:35,D55,52S,-,($0.28),Y,BUSINESS,N,$1180.94
08/16/2023,08/08/2023,Z378141-NJ,NYSTA,TOLL,,-,-,06:41:12,HA,02S,2L,($1.54),Y,BUSINESS,N,$1181.22
08/16/2023,08/16/2023,02214781096,NJTP,TOLL,08:13:01,9  ,06E,08:27:48,13 ,10X,1,($4.20),Y,BUSINESS,N,$1182.76
08/16/2023,08/07/2023,Z378141-NJ,NYSTA,TOLL,,-,-,19:34:10,YK,03N,2L,($1.54),Y,BUSINESS,N,$1186.96
08/16/2023,08/13/2023,U66RYG-NJ,VDOT,TOLL,20:11:20,GRS,1,20:17:25,123,2,-,($7.55),Y,BUSINESS,N,$1188.50
08/15/2023,08/15/2023,02214781099,DRBA,TOLL,,-,-,19:09:34,DMB,01,1,($4.75),Y,BUSINESS,N,$1196.05
08/15/2023,08/15/2023,02214781099,NJTP,TOLL,18:10:46,7A ,000,19:04:39,1  ,15X,1,($6.64),Y,BUSINESS,N,$1200.80
08/15/2023,08/15/2023,02214781096,NJTP,TOLL,18:52:29,13 ,16E,19:06:27,9  ,12X,1,($3.15),Y,BUSINESS,N,$1207.44
08/15/2023,08/15/2023,02214781096,PANYNJ,TOLL,,-,-,10:58:57,GB ,02,-,($12.75),Y,BUSINESS,N,$1210.59
08/15/2023,08/15/2023,02214781096,NJTP,TOLL,10:42:26,9  ,04E,10:56:50,13 ,07X,1,($3.15),Y,BUSINESS,N,$1223.34
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:24:23,D39,25S,-,($0.66),Y,BUSINESS,N,$1226.49
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:20:59,D30,35S,-,($0.66),Y,BUSINESS,N,$1227.15
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:18:47,D27,24S,-,($0.28),Y,BUSINESS,N,$1227.81
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:09:05,D68,72S,-,($0.28),Y,BUSINESS,N,$1228.09
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:07:20,D64,63S,-,($0.66),Y,BUSINESS,N,$1228.37
08/15/2023,08/07/2023,J49PCA-NJ,FTE,TOLL,,-,-,00:03:38,D58,65S,-,($0.66),Y,BUSINESS,N,$1229.03
08/15/2023,08/06/2023,J49PCA-NJ,FTE,TOLL,,-,-,23:58:20,D55,52S,-,($0.28),Y,BUSINESS,N,$1229.69
08/15/2023,08/14/2023,02214781100,SJ,TOLL,,-,-,00:20:56,APL,71,2,($1.35),Y,BUSINESS,N,$1229.97
08/15/2023,08/14/2023,02214781096,NJTP,TOLL,22:59:58,13 ,19E,23:23:26,9  ,09X,1,($3.15),Y,BUSINESS,N,$1231.32
08/14/2023,08/13/2023,U66RYG-NJ,MdTA,TOLL,,-,-,23:40:34,951,002,-,($0.49),Y,BUSINESS,N,$1234.47
08/14/2023,08/14/2023,U66RYG-NJ,MdTA,TOLL,,-,-,00:05:22,JFK,53,-,($8.00),Y,BUSINESS,N,$1234.96
08/14/2023,08/13/2023,U66RYG-NJ,MdTA,TOLL,,-,-,23:35:09,FMT,72,-,($4.00),Y,BUSINESS,N,$1242.96
08/14/2023,08/14/2023,02214781096,PANYNJ,TOLL,,-,-,07:45:58,GB ,02,-,($14.75),Y,BUSINESS,N,$1246.96
08/14/2023,08/09/2023,Z353579-NJ,SJ,TOLL,,-,-,17:50:56,APL,61,2,($1.35),Y,BUSINESS,N,$1261.71
08/14/2023,08/14/2023,02214781096,NJTP,TOLL,07:29:19,9  ,05E,07:44:04,13 ,09X,1,($4.20),Y,BUSINESS,N,$1263.06
08/14/2023,08/13/2023,02214781096,PANYNJ,TOLL,,-,-,17:22:38,LT ,10,-,($14.75),Y,BUSINESS,N,$1267.26
08/14/2023,08/13/2023,02214781096,MTAB&T,TOLL,,-,-,23:05:23,QMT,002,-,($11.19),Y,BUSINESS,N,$1282.01
08/14/2023,08/13/2023,02214781096,MTAB&T,TOLL,,-,-,17:54:20,QMT,015,-,($11.19),Y,BUSINESS,N,$1293.20
08/14/2023,08/14/2023,-,NJ E-ZPass,Service Fee,,-,-,03:38:09,-,-,-,($1.00),Y,-,-,$1304.39
08/14/2023,08/13/2023,02214781096,NJTP,TOLL,23:26:51,16E,23E,23:51:41,9  ,12X,1,($9.40),Y,BUSINESS,N,$1305.39
08/14/2023,08/14/2023,02214781100,GSP,TOLL,,-,-,01:12:21,TRV,05N,1,($1.01),Y,BUSINESS,N,$1314.79
08/14/2023,08/14/2023,02214781100,GSP,TOLL,,-,-,00:49:22,NGR,07N,1,($2.02),Y,BUSINESS,N,$1315.80
08/14/2023,08/13/2023,02214781100,SJ,TOLL,,-,-,18:16:26,APL,61,2,($1.35),Y,BUSINESS,N,$1317.82
08/13/2023,08/13/2023,02214781096,NJTP,TOLL,16:31:10,9  ,04E,17:06:45,16E,01X,1,($9.40),Y,BUSINESS,N,$1319.17
08/13/2023,08/13/2023,02214781100,GSP,TOLL,,-,-,17:50:20,BAR,08S,1,($2.02),Y,BUSINESS,N,$1328.57
08/13/2023,08/13/2023,02214781100,GSP,TOLL,,-,-,17:38:32,TRV,10S,1,($1.01),Y,BUSINESS,N,$1330.59
08/12/2023,08/10/2023,Z353593-NJ,MassDOT,TOLL,,-,-,20:48:36,583,02,-,($1.10),Y,BUSINESS,N,$1331.60
08/12/2023,08/08/2023,Z378141-NJ,DRPA,TOLL,00:00:00,-,-,13:03:36,CBB,07W,2,($5.00),Y,BUSINESS,N,$1332.70
08/12/2023,08/11/2023,02214781096,PANYNJ,TOLL,,-,-,21:55:34,OBX,02,-,($12.75),Y,BUSINESS,N,$1337.70
08/12/2023,08/11/2023,02214781098,MTAB&T,TOLL,,-,-,19:56:18,HCT,002,-,($11.19),Y,BUSINESS,N,$1350.45
08/12/2023,08/11/2023,02214781098,MTAB&T,TOLL,,-,-,16:52:07,QMT,002,-,($11.19),Y,BUSINESS,N,$1361.64
08/12/2023,08/12/2023,02214781096,NJTP,TOLL,04:29:10,13 ,16E,04:42:32,9  ,09X,1,($4.20),Y,BUSINESS,N,$1372.83
08/12/2023,08/10/2023,Z353593-NJ,MassDOT,TOLL,,-,-,12:32:24,104,04,-,($1.10),Y,BUSINESS,N,$1377.03
08/11/2023,08/11/2023,02214781095,NJTP,TOLL,20:25:37,4  ,03E,20:50:58,7A ,12X,1,($1.80),Y,BUSINESS,N,$1378.13
08/11/2023,08/11/2023,02214781096,NJTP,TOLL,17:40:46,13 ,16E,17:55:23,9  ,15X,1,($4.20),Y,BUSINESS,N,$1379.93
08/11/2023,08/09/2023,Z353593-NJ,MassDOT,TOLL,,-,-,16:39:15,583,02,-,($0.60),Y,BUSINESS,N,$1384.13
08/11/2023,08/11/2023,02214781096,PANYNJ,TOLL,,-,-,07:49:13,GB ,02,-,($14.75),Y,BUSINESS,N,$1384.73
08/11/2023,08/08/2023,Z353593-NJ,PANYNJ,TOLL,,-,-,21:48:03,GWL,12,-,($12.75),Y,BUSINESS,N,$1399.48
08/11/2023,08/11/2023,02214781096,NJTP,TOLL,07:32:11,9  ,05E,07:47:25,13 ,10X,1,($4.20),Y,BUSINESS,N,$1412.23
08/11/2023,08/09/2023,02214781096,MTAB&T,TOLL,,-,-,21:03:42,VNB,007,-,($11.19),Y,BUSINESS,N,$1416.43
08/11/2023,08/10/2023,02214781098,MTAB&T,TOLL,,-,-,18:26:53,HCT,002,-,($11.19),Y,BUSINESS,N,$1427.62
08/11/2023,08/10/2023,02214781098,MTAB&T,TOLL,,-,-,16:40:34,QMT,002,-,($11.19),Y,BUSINESS,N,$1438.81
08/11/2023,08/11/2023,02212261422,NJTP,TOLL,00:35:08,13 ,15E,00:43:39,11 ,15X,1,($1.80),Y,BUSINESS,N,$1450.00
08/11/2023,08/10/2023,02212261422,NJTP,TOLL,22:22:00,16W,02E,22:23:54,18W,08X,1,($1.56),Y,BUSINESS,N,$1451.80
08/10/2023,08/10/2023,02212261422,GSP,TOLL,,-,-,21:26:19,PSS,01S,1,($0.70),Y,BUSINESS,N,$1453.36
08/10/2023,08/10/2023,02214781096,NJTP,TOLL,19:05:17,13 ,16E,19:22:48,9  ,09X,1,($3.15),Y,BUSINESS,N,$1454.06
08/10/2023,08/10/2023,02212261422,GSP,TOLL,,-,-,18:21:36,BER,05N,1,($2.02),Y,BUSINESS,N,$1457.21
08/10/2023,08/10/2023,02212261422,GSP,TOLL,,-,-,18:14:02,PSN,01N,1,($0.70),Y,BUSINESS,N,$1459.23
08/10/2023,08/10/2023,02212261422,NJTP,TOLL,17:11:47,11 ,08E,17:25:36,14 ,25X,1,($4.36),Y,BUSINESS,N,$1459.93
08/10/2023,08/10/2023,02212261422,GSP,TOLL,,-,-,16:34:22,LWN,01N,1,($0.70),Y,BUSINESS,N,$1464.29
08/10/2023,08/10/2023,02212261422,GSP,TOLL,,-,-,16:48:10,ASP,12N,1,($2.02),Y,BUSINESS,N,$1464.99
08/10/2023,08/10/2023,02214781096,PANYNJ,TOLL,,-,-,07:54:16,GB ,04,-,($14.75),Y,BUSINESS,N,$1467.01
08/10/2023,08/06/2023,Z378141-NJ,PANYNJ,TOLL,,-,-,19:09:46,GWU,02,-,($14.75),Y,BUSINESS,N,$1481.76
08/10/2023,08/06/2023,Z378141-NJ,PANYNJ,TOLL,,-,-,12:26:27,GWU,04,-,($14.75),Y,BUSINESS,N,$1496.51
08/10/2023,08/10/2023,02214781096,NJTP,TOLL,07:41:30,10 ,13E,07:52:30,13 ,08X,1,($3.57),Y,BUSINESS,N,$1511.26
08/10/2023,08/10/2023,02214781100,GSP,TOLL,,-,-,01:56:34,LWS,02S,1,($0.70),Y,BUSINESS,N,$1514.83
08/10/2023,08/10/2023,02214781100,GSP,TOLL,,-,-,01:31:18,RAS,15S,1,($2.02),Y,BUSINESS,N,$1515.53
08/10/2023,08/09/2023,02214781096,NJTP,TOLL,21:13:20,13 ,16E,21:22:37,11 ,13X,1,($1.80),Y,BUSINESS,N,$1517.55
08/10/2023,08/09/2023,02214781096,GSP,TOLL,,-,-,22:30:28,ASP,11N,1,($2.02),Y,BUSINESS,N,$1519.35
08/09/2023,08/09/2023,02214781096,GSP,TOLL,,-,-,22:14:19,TRV,07N,1,($1.01),Y,BUSINESS,N,$1521.37
08/09/2023,08/09/2023,02214781096,GSP,TOLL,,-,-,22:02:10,TRV,11S,1,($1.01),Y,BUSINESS,N,$1522.38
08/09/2023,08/09/2023,02214781096,GSP,TOLL,,-,-,21:26:41,RAS,13S,1,($2.02),Y,BUSINESS,N,$1523.39
08/09/2023,08/09/2023,02214781096,PANYNJ,TOLL,,-,-,07:36:19,GB ,02,-,($14.75),Y,BUSINESS,N,$1525.41
08/09/2023,08/09/2023,02214781096,MTAB&T,TOLL,,-,-,07:45:01,VNB,021,-,($11.19),Y,BUSINESS,N,$1540.16
08/09/2023,08/09/2023,02214781096,NJTP,TOLL,07:19:50,9  ,05E,07:34:18,13 ,08X,1,($4.20),Y,BUSINESS,N,$1551.35
08/09/2023,08/08/2023,02214781096,PANYNJ,TOLL,,-,-,20:00:40,GB ,04,-,($12.75),Y,BUSINESS,N,$1555.55
08/09/2023,08/08/2023,02214781096,MTAB&T,TOLL,,-,-,22:59:45,VNB,007,-,($11.19),Y,BUSINESS,N,$1568.30
08/09/2023,08/08/2023,02214781096,MTAB&T,TOLL,,-,-,20:07:46,VNB,020,-,($11.19),Y,BUSINESS,N,$1579.49
08/09/2023,08/08/2023,02214781100,DRJTBC,TOLL,00:00:00,-,-,17:13:50,ODW,21W,1,($1.25),Y,BUSINESS,N,$1590.68
08/09/2023,08/08/2023,02214781096,NJTP,TOLL,23:09:05,13 ,16E,23:23:41,9  ,13X,1,($3.15),Y,BUSINESS,N,$1591.93
08/09/2023,08/09/2023,02212261422,GSP,TOLL,,-,-,01:01:24,LWS,01S,1,($0.70),Y,BUSINESS,N,$1595.08
08/09/2023,08/09/2023,02212261422,GSP,TOLL,,-,-,00:12:52,ESS,05S,1,($2.02),Y,BUSINESS,N,$1595.78
